"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -3.81000222274E-001, +0.00000000000E+000
+1.05500000000E+009, -3.76891421629E-001, +0.00000000000E+000
+1.11000000000E+009, -3.77394202055E-001, +0.00000000000E+000
+1.16500000000E+009, -3.76197002382E-001, +0.00000000000E+000
+1.22000000000E+009, -3.72907001081E-001, +0.00000000000E+000
+1.27500000000E+009, -3.65327046063E-001, +0.00000000000E+000
+1.33000000000E+009, -3.50105873653E-001, +0.00000000000E+000
+1.38500000000E+009, -3.90268135775E-001, +0.00000000000E+000
+1.44000000000E+009, -3.56355684336E-001, +0.00000000000E+000
+1.49500000000E+009, -3.69520083669E-001, +0.00000000000E+000
+1.55000000000E+009, -3.65259757134E-001, +0.00000000000E+000
+1.60500000000E+009, -3.45000023768E-001, +0.00000000000E+000
+1.66000000000E+009, -3.73928896541E-001, +0.00000000000E+000
+1.71500000000E+009, -3.42146673667E-001, +0.00000000000E+000
+1.77000000000E+009, -3.59058376106E-001, +0.00000000000E+000
+1.82500000000E+009, -3.50788926227E-001, +0.00000000000E+000
+1.88000000000E+009, -3.30151069696E-001, +0.00000000000E+000
+1.93500000000E+009, -3.64763890177E-001, +0.00000000000E+000
+1.99000000000E+009, -3.39710116599E-001, +0.00000000000E+000
+2.04500000000E+009, -3.43456455783E-001, +0.00000000000E+000
+2.10000000000E+009, -3.59819695039E-001, +0.00000000000E+000
+2.15500000000E+009, -3.11411034790E-001, +0.00000000000E+000
+2.21000000000E+009, -3.77382420724E-001, +0.00000000000E+000
+2.26500000000E+009, -3.46556082194E-001, +0.00000000000E+000
+2.32000000000E+009, -3.49364136991E-001, +0.00000000000E+000
+2.37500000000E+009, -3.40141752447E-001, +0.00000000000E+000
+2.43000000000E+009, -3.36350226792E-001, +0.00000000000E+000
+2.48500000000E+009, -3.63738004181E-001, +0.00000000000E+000
+2.54000000000E+009, -3.43741102844E-001, +0.00000000000E+000
+2.59500000000E+009, -3.39015833181E-001, +0.00000000000E+000
+2.65000000000E+009, -3.48881084715E-001, +0.00000000000E+000
+2.70500000000E+009, -3.24074514969E-001, +0.00000000000E+000
+2.76000000000E+009, -3.87972845537E-001, +0.00000000000E+000
+2.81500000000E+009, -3.41746223217E-001, +0.00000000000E+000
+2.87000000000E+009, -3.36086334546E-001, +0.00000000000E+000
+2.92500000000E+009, -3.70730365322E-001, +0.00000000000E+000
+2.98000000000E+009, -3.18291645662E-001, +0.00000000000E+000
+3.03500000000E+009, -3.91342589010E-001, +0.00000000000E+000
+3.09000000000E+009, -3.34124442942E-001, +0.00000000000E+000
+3.14500000000E+009, -3.36727908310E-001, +0.00000000000E+000
+3.20000000000E+009, -3.67206728997E-001, +0.00000000000E+000
+3.25500000000E+009, -3.18941153073E-001, +0.00000000000E+000
+3.31000000000E+009, -3.80702454189E-001, +0.00000000000E+000
+3.36500000000E+009, -3.52146116868E-001, +0.00000000000E+000
+3.42000000000E+009, -3.13663011305E-001, +0.00000000000E+000
+3.47500000000E+009, -3.65937733465E-001, +0.00000000000E+000
+3.53000000000E+009, -3.19126388539E-001, +0.00000000000E+000
+3.58500000000E+009, -3.81620065807E-001, +0.00000000000E+000
+3.64000000000E+009, -3.40113877859E-001, +0.00000000000E+000
+3.69500000000E+009, -3.07596635999E-001, +0.00000000000E+000
+3.75000000000E+009, -3.45254004291E-001, +0.00000000000E+000
+3.80500000000E+009, -3.09989849714E-001, +0.00000000000E+000
+3.86000000000E+009, -3.60649599471E-001, +0.00000000000E+000
+3.91500000000E+009, -3.02458124738E-001, +0.00000000000E+000
+3.97000000000E+009, -2.63008845332E-001, +0.00000000000E+000
+4.02500000000E+009, -3.73909543849E-001, +0.00000000000E+000
+4.08000000000E+009, -2.51609974309E-001, +0.00000000000E+000
+4.13500000000E+009, -3.63423560790E-001, +0.00000000000E+000
+4.19000000000E+009, -2.81120522565E-001, +0.00000000000E+000
+4.24500000000E+009, -2.64409045423E-001, +0.00000000000E+000
+4.30000000000E+009, -3.40299302602E-001, +0.00000000000E+000
+4.35500000000E+009, -2.88876453384E-001, +0.00000000000E+000
